member_ref,email,pseudo,role,elo,tier,rang,victoires,matchs,streak,wods_total,reservations_total,formule,seances_cible_semaine,is_demo_account,nom_complet
m001,m001@demo.athlexapp.eu,Anna Lefèvre,coach,1407,Elite,1,0,0,0,64,31,2x/sem,2,false,Anna Lefèvre
m002,m002@demo.athlexapp.eu,Diego B.,coach,1338,RX+,2,0,2,1,89,109,2x/sem,2,false,Diego B.
m003,m003@demo.athlexapp.eu,Amir Morin,member,1335,RX+,3,0,0,1,168,43,2x/sem,2,false,Amir Morin
m004,m004@demo.athlexapp.eu,Gabriel Renard,member,1316,RX+,4,0,0,1,122,169,1x/sem,1,false,Gabriel Renard
m005,m005@demo.athlexapp.eu,Eva Michel,coach,1311,RX+,5,3,4,0,61,18,3x/sem,3,false,Eva Michel
m006,m006@demo.athlexapp.eu,Célia G.,member,1298,RX+,6,8,8,3,35,80,illimité,4,false,Célia G.
m007,m007@demo.athlexapp.eu,Chloé M.,member,1295,RX+,7,0,0,4,102,135,3x/sem,3,false,Chloé M.
m008,m008@demo.athlexapp.eu,Florian Thomas,member,1293,RX+,8,1,3,4,62,98,3x/sem,3,false,Florian Thomas
m009,m009@demo.athlexapp.eu,Chloé Robin,member,1283,RX+,9,0,0,0,44,96,3x/sem,3,false,Chloé Robin
m010,m010@demo.athlexapp.eu,Sacha Marchand,member,1262,RX,10,2,4,6,114,11,3x/sem,3,false,Sacha Marchand
m013,nbstylz+appledemo@gmail.com,Camille Roux,member,1262,RX,11,10,11,6,87,64,illimité,4,true,Camille Roux
m011,m011@demo.athlexapp.eu,Malo Garnier,member,1261,RX,12,3,3,1,128,182,1x/sem,1,false,Malo Garnier
m012,m012@demo.athlexapp.eu,Karim Vincent,member,1261,RX,13,1,3,0,147,96,2x/sem,2,false,Karim Vincent
m014,m014@demo.athlexapp.eu,Chloé Rousseau,member,1256,RX,14,0,0,0,149,219,3x/sem,3,false,Chloé Rousseau
m015,m015@demo.athlexapp.eu,Alice R.,member,1249,RX,15,0,0,4,137,99,illimité,4,false,Alice R.
m016,m016@demo.athlexapp.eu,Faustine Roussel,member,1245,RX,16,3,4,0,78,210,3x/sem,3,false,Faustine Roussel
m017,m017@demo.athlexapp.eu,Clara Robert,member,1245,RX,17,2,3,4,142,16,illimité,4,false,Clara Robert
m018,m018@demo.athlexapp.eu,Eva Bernard,member,1233,RX,18,4,6,6,119,143,3x/sem,3,false,Eva Bernard
m019,m019@demo.athlexapp.eu,Lola Durand,member,1231,RX,19,3,5,2,149,173,2x/sem,2,false,Lola Durand
m020,m020@demo.athlexapp.eu,Sacha Lopez,member,1226,RX,20,0,0,4,175,127,illimité,4,false,Sacha Lopez
m021,m021@demo.athlexapp.eu,Mehdi Mercier,member,1225,RX,21,0,0,1,140,46,1x/sem,1,false,Mehdi Mercier
m022,m022@demo.athlexapp.eu,Hugo Martin,member,1217,RX,22,2,4,0,184,6,3x/sem,3,false,Hugo Martin
